RF,comparisons Count,accuracy,
RF_5_t2,154.4,0.8431253161792084,
RF_5_t3,72.9,0.838119329286994,
RF_5_t4,49.5,0.8405454353059143,
RF_5_t5,43.0,0.8360001599522559,
RF_5_t6,35.0,0.8404226794945358,
RF_5_t7,27.0,0.838764249991795,
RF_5_t8,23.0,0.8320997911566774,
RF_5_t9,20.0,0.7749763702608015,
RF_5_t10,18.0,0.7846816667175949,
RF_5_t11,14.0,0.8224562828604745,
RF_5_t12,11.0,0.8165596325775967,
RF_5_t13,10.0,0.8157611869438217,
RF_5_t14,5.0,0.8371671229455661,
RF_5_t15,5.0,0.8371671229455661,
RF_5_t16,4.0,0.8371671229455661,
RF_5_t17,2.0,0.6790329848713083,
RF_5_t18,2.0,0.6790329848713083,
RF_5_t19,1.0,0.7102973980219488,
RF_5_t20,0.0,0.7591904454179904,
RF_5_t21,0.0,0.7591904454179904,
RF_5_t22,0.0,0.7591904454179904,
RF_5_t23,0.0,0.7591904454179904,
RF_5_t24,0.0,0.7591904454179904,
RF_5_t25,0.0,0.7591904454179904,
RF_10_t2,326.2,0.7834525666112493,
RF_10_t3,315.9,0.8161913227032989,
RF_10_t4,226.2,0.8250974803370014,
RF_10_t5,189.4,0.8324683179473599,
RF_10_t6,162.3,0.8323147317159293,
RF_10_t7,143.1,0.8343109471851987,
RF_10_t8,129.0,0.8138263305179473,
RF_10_t9,124.0,0.8022173570077762,
RF_10_t10,115.0,0.7999446957530789,
RF_10_t11,107.0,0.79702703362883,
RF_10_t12,99.0,0.7802893221306396,
RF_10_t13,93.0,0.7918982343383542,
RF_10_t14,86.0,0.7731948359942372,
RF_10_t15,76.0,0.7775865817033482,
RF_10_t16,68.0,0.7832681688220611,
RF_10_t17,63.0,0.7892876975212305,
RF_10_t18,58.0,0.788980652378856,
RF_10_t19,56.0,0.7931266978422666,
RF_10_t20,54.0,0.7952765089741137,
RF_10_t21,48.0,0.7665919106787371,
RF_10_t22,44.0,0.7678818039596482,
RF_10_t23,36.0,0.7900863034845071,
RF_10_t24,26.0,0.7739935032599703,
RF_10_t25,17.0,0.7721507325549243,
RF_15_t2,409.8,0.7827460605155215,
RF_15_t3,326.9,0.8033846076510747,
RF_15_t4,338.0,0.7826234933270861,
RF_15_t5,330.0,0.729430785942762,
RF_15_t6,332.1,0.7437425753294016,
RF_15_t7,299.1,0.7396272423967034,
RF_15_t8,260.2,0.7718436544035348,
RF_15_t9,233.7,0.7907619367200205,
RF_15_t10,220.5,0.782930533753887,
RF_15_t11,202.0,0.7827769003667207,
RF_15_t12,181.7,0.7756825415508051,
RF_15_t13,170.6,0.7726114676713479,
RF_15_t14,162.2,0.7668377382449238,
RF_15_t15,149.3,0.7443260615416305,
RF_15_t16,144.3,0.757931349548116,
RF_15_t17,140.3,0.7603268562100898,
RF_15_t18,133.0,0.7644728309398968,
RF_15_t19,127.0,0.7694174587887164,
RF_15_t20,118.0,0.7634594117378548,
RF_15_t21,115.0,0.772427088744454,
RF_15_t22,109.0,0.7744540874780397,
RF_15_t23,100.0,0.761739500586806,
RF_15_t24,89.0,0.7552900577601176,
RF_15_t25,65.0,0.769263679218769,
RF_20_t2,429.9,0.7604802915431659,
RF_20_t3,342.3,0.7421148442106527,
RF_20_t4,333.4,0.7445412331639877,
RF_20_t5,337.6,0.7465065804886164,
RF_20_t6,341.6,0.7023127483456825,
RF_20_t7,337.7,0.7141674032392595,
RF_20_t8,344.1,0.7211389025011778,
RF_20_t9,337.6,0.7254077037759672,
RF_20_t10,326.1,0.7237491658150341,
RF_20_t11,295.6,0.6990263000742043,
RF_20_t12,270.6,0.7154264000820887,
RF_20_t13,248.0,0.7741470423356651,
RF_20_t14,229.7,0.758791154225286,
RF_20_t15,221.5,0.7689566576542625,
RF_20_t16,213.8,0.7739012336317725,
RF_20_t17,203.2,0.7724269189838052,
RF_20_t18,184.8,0.7663155874982223,
RF_20_t19,172.1,0.7335155666742493,
RF_20_t20,167.8,0.7262368855183227,
RF_20_t21,159.5,0.7041245377323222,
RF_20_t22,149.9,0.7111881840175254,
RF_20_t23,136.0,0.702496863200456,
RF_20_t24,127.0,0.703295285256363,
RF_20_t25,112.0,0.7220599954881392,
RF_5,124.4,0.8440466779538636,
RF_10,246.3,0.8590032607248176,
RF_15,340.5,0.8622586805221536,
RF_20,401.7,0.8632107878365364,
